	orf1	orf2	orf_pair	delta_prime_median	sd_delta_prime_median	prob_interaction_median	correlation	name1	name2
52	RVBD1304	RVBD3682	RVBD1304_RVBD3682	-0.063582703200234	0.0435935757736792	0.0021561005062208	0.0019281297631773	atpB	ponA2
53	RVBD1304	RVBD3795	RVBD1304_RVBD3795	0.5227281441311362	0.0589678656940643	0.0029238784399305	0.1477296305218491	atpB	embB
54	RVBD1822	RVBD1822	RVBD1822_RVBD1822	-6.439584898664791	1.0540110627943735	0.9999999999999843	1.0	pgsA2	pgsA2
55	RVBD1822	RVBD1854c	RVBD1822_RVBD1854c	0.5163853167162009	0.0919626130769537	0.0029043456088076	0.2377062766997834	pgsA2	ndh
56	RVBD1822	RVBD2193	RVBD1822_RVBD2193	0.5531132907542144	0.062372342636097	0.0030224058759781	0.3601610031788249	pgsA2	ctaE
57	RVBD1822	RVBD2200c	RVBD1822_RVBD2200c	0.145783445173406	0.095197230456555	0.0022342950850458	0.2882829613045123	pgsA2	ctaC
58	RVBD1822	RVBD2447c	RVBD1822_RVBD2447c	-0.0410340750453728	0.0919371025348609	0.0021559503819934	0.293032736033941	pgsA2	folC
59	RVBD1822	RVBD2754c	RVBD1822_RVBD2754c	-0.1446956661930334	0.0475228312311463	0.0021735225169764	0.3170528054248844	pgsA2	thyX
60	RVBD1822	RVBD2764c	RVBD1822_RVBD2764c	-0.1704935390292408	0.1394565252624582	0.0021846735601834	0.1999149231382996	pgsA2	thyA
61	RVBD1822	RVBD2794c	RVBD1822_RVBD2794c	-0.0738754371837781	0.0945950270949236	0.0021568451260906	0.3024721405676465	pgsA2	pptT
62	RVBD1822	RVBD3261	RVBD1822_RVBD3261	0.399952199354938	0.0541053388967563	0.0026022968144747	0.050601750152845	pgsA2	fbiA
63	RVBD1822	RVBD3682	RVBD1822_RVBD3682	-0.1247179938283622	0.0566160709498699	0.0021667630772633	0.0443504599688905	pgsA2	ponA2
64	RVBD1822	RVBD3795	RVBD1822_RVBD3795	-0.4868665781555559	0.1777660425057975	0.0025717298000364	0.3036519297811274	pgsA2	embB
65	RVBD1854c	RVBD1854c	RVBD1854c_RVBD1854c	1.50653542431056	0.1238991661740172	0.020155959610418	1.0	ndh	ndh
66	RVBD1854c	RVBD2193	RVBD1854c_RVBD2193	0.6757893125886938	0.0732337926085479	0.0035156179302375	0.5399773848527907	ndh	ctaE
67	RVBD1854c	RVBD2200c	RVBD1854c_RVBD2200c	0.666390828679725	0.0977934804894841	0.0034717235958507	0.5130206995528486	ndh	ctaC
68	RVBD1854c	RVBD2447c	RVBD1854c_RVBD2447c	-0.6733822764986197	0.1473743469185713	0.0030883078702357	0.4166591174181994	ndh	folC
69	RVBD1854c	RVBD2754c	RVBD1854c_RVBD2754c	-0.0405755380289704	0.0883567128988413	0.0021559685453349	0.3293547949516143	ndh	thyX
70	RVBD1854c	RVBD2764c	RVBD1854c_RVBD2764c	-0.65259022437133	0.1805250853335044	0.0030162982415659	0.3481659495655373	ndh	thyA
71	RVBD1854c	RVBD2794c	RVBD1854c_RVBD2794c	-0.2942481697656333	0.0891188101469647	0.0022777207889911	0.2940271782512216	ndh	pptT
72	RVBD1854c	RVBD3261	RVBD1854c_RVBD3261	-0.6699495015887815	1.289069594796637	0.0030761321063269	0.2571459824747273	ndh	fbiA
73	RVBD1854c	RVBD3682	RVBD1854c_RVBD3682	-0.3458010827338602	0.1181075617690491	0.0023371416324559	0.0090023227293243	ndh	ponA2
74	RVBD1854c	RVBD3795	RVBD1854c_RVBD3795	-0.2475879795778253	0.1829490583312473	0.0022347160529873	0.3646606566360332	ndh	embB
75	RVBD2193	RVBD2193	RVBD2193_RVBD2193	-1.951183972764624	0.1114877217218143	0.0583881797782767	1.0	ctaE	ctaE
76	RVBD2193	RVBD2200c	RVBD2193_RVBD2200c	2.3804404152116856	0.0529876293576275	0.3441636908973265	0.5692549722531912	ctaE	ctaC
77	RVBD2193	RVBD2447c	RVBD2193_RVBD2447c	-0.1889975194753947	0.0761161263044387	0.0021943743476774	0.369714300814711	ctaE	folC
78	RVBD2193	RVBD2754c	RVBD2193_RVBD2754c	-0.6030178219582147	0.0680967745200652	0.0028605266016507	0.3509355460202583	ctaE	thyX
